id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,experience_level,tags,keywords,source,created_date
16,Database Management,Normalization,What is the main goal of database normalization?,To increase data redundancy,To reduce data redundancy and improve data integrity,To make queries slower,To increase storage space,B,Normalization eliminates redundancy and ensures data integrity by organizing data into well-structured tables.,3,Mid,"normalization,data_integrity,redundancy,database_design","normalization,data integrity,redundancy,database design",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
17,Database Management,Indexing,What is the primary purpose of database indexing?,To increase storage space,To speed up data retrieval operations,To slow down updates,To increase data redundancy,B,"Indexes create shortcuts to data, significantly improving the speed of SELECT operations.",3,Mid,"indexing,performance,data_retrieval,database_optimization","indexing,performance,data retrieval,optimization",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
18,Operating Systems,Processes,What is the difference between a process and a thread?,No difference,Process is lighter than thread,Thread is a lightweight process within a process,Thread runs on different machines,C,"A thread is a lightweight unit of execution within a process, sharing the same memory space.",3,Mid,"processes,threads,concurrency,multithreading","process,thread,lightweight,memory space",Stanford CS140 Operating Systems Course (web.stanford.edu/class/cs140),6/14/2025
19,Operating Systems,Memory Management,What is virtual memory?,Physical RAM only,A technique that uses disk space to extend available memory,Cache memory,ROM memory,B,"Virtual memory allows the OS to use disk space as an extension of RAM, enabling larger programs to run.",3,Mid,"virtual_memory,memory_management,disk_space,paging","virtual memory,paging,disk space,memory management",Stanford CS140 Operating Systems Course (web.stanford.edu/class/cs140),6/14/2025
20,Programming Languages,Java,What is the difference between == and .equals() in Java?,No difference,"== compares references, .equals() compares content","== compares content, .equals() compares references",Both compare references only,B,"The == operator compares memory references, while .equals() method compares the actual content of objects.",3,Mid,"java,equality,references,object_comparison","Java,equals,reference comparison,content comparison",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
21,Computer Networks,HTTP/HTTPS,What is the main difference between HTTP and HTTPS?,No difference,HTTPS is faster,HTTPS provides encryption and security,HTTP is more secure,C,HTTPS uses SSL/TLS encryption to secure data transmission between client and server.,2,Entry,"HTTP,HTTPS,security,encryption,SSL_TLS","HTTP,HTTPS,encryption,SSL,TLS,security",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
22,Computer Networks,TCP/IP,Which protocol is connection-oriented and provides reliable data transmission?,UDP,TCP,ICMP,ARP,B,"TCP (Transmission Control Protocol) establishes connections and ensures reliable, ordered data delivery.",3,Mid,"TCP,UDP,connection_oriented,reliable_transmission","TCP,connection oriented,reliable,transmission",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
23,Data Structures & Algorithms,Arrays,"In the context of array operations, what is an in-place algorithm?",Algorithm that uses O(1) time,Algorithm that doesn't use external storage,Algorithm that sorts an array,Algorithm that only works on specific types,B,"An in-place algorithm transforms data without using extra space beyond a small, constant amount.",3,Mid,"in_place_algorithm,space_complexity,array_operations","in-place,extra space,algorithm,space complexity",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
24,Data Structures & Algorithms,Linked Lists,What is the main disadvantage of a singly linked list compared to a doubly linked list?,Takes more memory,Cannot be traversed,Cannot delete a node efficiently without a reference to the previous node,All operations are slower,C,"Without a previous pointer, deleting a node requires traversing from the beginning to find the previous node.",3,Mid,"linked_list,singly_linked,doubly_linked,deletion","singly linked list,doubly linked list,deletion,previous node",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
25,Data Structures & Algorithms,Stacks,Which data structure would you use to check if a string has balanced parentheses?,Queue,Array,Stack,Tree,C,Stacks are ideal for matching opening and closing characters due to their LIFO nature.,2,Entry,"stacks,balanced_parentheses,string_processing","stack,balanced parentheses,LIFO,bracket matching",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
26,Data Structures & Algorithms,Stacks,Which algorithm uses a stack as its primary data structure?,Breadth-first search,Heap sort,Depth-first search,Quicksort,C,Depth-first search uses a stack (either explicitly or implicitly through recursion) to explore as far as possible before backtracking.,3,Mid,"stacks,depth_first_search,graph_algorithms","DFS,depth-first search,stack,graph traversal",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
27,Data Structures & Algorithms,Queues,What principle does a queue data structure follow?,LIFO (Last In First Out),FIFO (First In First Out),Random access,Priority based,B,"Queues follow the First In First Out principle, where the first element added is the first one to be removed.",1,Entry,"queues,FIFO,fundamentals","queue,FIFO,first in first out,data structure",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
28,Data Structures & Algorithms,Queues,Which algorithm relies on a queue data structure?,Depth-first search,Inorder traversal,Breadth-first search,Postorder traversal,C,Breadth-first search uses a queue to explore all neighbors at the present depth before moving to nodes at the next depth level.,3,Mid,"queues,breadth_first_search,graph_algorithms","BFS,breadth-first search,queue,graph traversal",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
29,Data Structures & Algorithms,Trees,What is the height of a balanced binary tree with n nodes in the worst case?,O(1),O(log n),O(n),O(n^2),B,A balanced binary tree has a height of O(log n) as each level fills up before adding a new level.,3,Mid,"binary_tree,balanced_tree,height,complexity","balanced binary tree,height,log n,complexity",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
30,Data Structures & Algorithms,Trees,What makes a Red-Black tree self-balancing?,The color of the nodes,Rules enforced during insertion and deletion,Having exactly the same number of nodes on both sides,Random rotation of nodes,B,Red-Black trees maintain balance through specific rules about node coloring and rotations during insertion and deletion.,4,Senior,"red_black_tree,self_balancing,tree_rotations","red-black tree,self-balancing,rotation,rules",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
31,Data Structures & Algorithms,Heaps,What operation is used to maintain the heap property after removing the root element?,Heapify,Bubble up,Percolate down,Rotation,C,"After removing the root, the last element is placed at the root and percolated down to maintain the heap property.",3,Mid,"heaps,percolate_down,heap_operations,deletion","heap,percolate down,heapify,removal",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
32,Data Structures & Algorithms,Graphs,Which algorithm would you use to find all connected components in an undirected graph?,Dijkstra's algorithm,Depth-first search or Breadth-first search,Bellman-Ford algorithm,Floyd-Warshall algorithm,B,Either DFS or BFS can be used to find all connected components by traversing from each unvisited node.,3,Mid,"connected_components,graph_traversal,DFS,BFS","connected components,undirected graph,DFS,BFS",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
33,Data Structures & Algorithms,Dynamic Programming,Which of the following problems is typically solved using dynamic programming?,Sorting an array,Finding a path in a maze,Calculating the nth Fibonacci number optimally,Checking if a number is prime,C,"Fibonacci calculation exhibits overlapping subproblems and optimal substructure, making it ideal for dynamic programming.",3,Mid,"dynamic_programming,fibonacci,overlapping_subproblems","dynamic programming,Fibonacci,overlapping subproblems,memoization",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
34,Data Structures & Algorithms,Dynamic Programming,What are the two key attributes that a problem should have to be solved using dynamic programming?,Greedy choice property and polynomial complexity,Overlapping subproblems and optimal substructure,NP-completeness and recursive structure,Linear time solution and divide-and-conquer approach,B,Dynamic programming is applicable when a problem has overlapping subproblems (same subproblems solved multiple times) and optimal substructure (optimal solution built from optimal solutions to subproblems).,4,Senior,"dynamic_programming,optimal_substructure,overlapping_subproblems","dynamic programming,overlapping subproblems,optimal substructure,subproblems",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
35,System Design,Scalability,Which of the following is NOT a strategy for horizontal scaling?,Sharding,Adding more servers,Load balancing,Increasing CPU and RAM,D,"Increasing CPU and RAM is vertical scaling (scaling up), not horizontal scaling (scaling out).",3,Mid,"horizontal_scaling,vertical_scaling,scalability_strategies","horizontal scaling,vertical scaling,CPU,RAM",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
36,System Design,Database Design,Which type of database would be most suitable for handling high-throughput financial transactions requiring ACID compliance?,NoSQL document store,In-memory database,Relational database,Key-value store,C,"Relational databases prioritize ACID compliance, making them suitable for financial transactions where consistency is critical.",4,Senior,"database_selection,ACID,transactions,relational_database","ACID,financial transactions,relational database,consistency",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
37,System Design,Microservices,What is the primary advantage of a microservices architecture over a monolithic architecture?,Easier debugging,Simplified deployment,Independent scaling of services,Reduced network complexity,C,"Microservices allow teams to scale individual services based on demand, rather than scaling the entire application.",4,Senior,"microservices,scalability,system_architecture,independent_services","microservices,independent scaling,architecture,monolithic",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
38,System Design,Caching,What is the primary disadvantage of using a cache in a distributed system?,Increased latency,Cache invalidation complexity,Reduced throughput,Higher costs,B,Cache invalidation (keeping the cache synchronized with the source of truth) is one of the hardest problems in distributed systems.,4,Senior,"caching,cache_invalidation,distributed_systems,consistency","cache invalidation,distributed systems,consistency,synchronization",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
39,System Design,Scalability,Which pattern is most effective for handling asynchronous communication between microservices?,Direct HTTP calls,Message queues,Shared databases,File transfers,B,"Message queues provide reliable asynchronous communication, decoupling services and handling backpressure.",4,Senior,"microservices,message_queues,asynchronous_communication,system_patterns","message queues,asynchronous,microservices,communication",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
40,Database Management,SQL,What SQL clause would you use to filter groups in a GROUP BY query?,WHERE,HAVING,FILTER,GROUP FILTER,B,"HAVING is used to filter groups after aggregation, while WHERE filters rows before aggregation.",3,Mid,"SQL,GROUP_BY,HAVING,aggregation","SQL,HAVING,GROUP BY,filter groups",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
41,Database Management,Transactions,"What does the ""I"" in ACID stand for?",Integrity,Isolation,Immutability,Identity,B,Isolation ensures that concurrent transactions do not affect each other's execution.,3,Mid,"ACID,transactions,isolation,concurrency","ACID,isolation,transactions,database",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
42,Database Management,NoSQL,Which type of NoSQL database would be best for storing hierarchical data like a file system?,Key-value store,Document store,Column-family store,Graph database,D,"Graph databases excel at managing complex relationships and hierarchies, making them ideal for file systems or organizational structures.",4,Senior,"NoSQL,graph_database,hierarchical_data,database_selection","graph database,hierarchical data,NoSQL,file system",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
43,Programming Languages,Java,"What is the difference between String, StringBuilder, and StringBuffer in Java?",No difference,"String is mutable, others are immutable","String is immutable, StringBuilder is not thread-safe, StringBuffer is thread-safe",All are thread-safe,C,String objects are immutable. StringBuilder is mutable but not thread-safe. StringBuffer is mutable and thread-safe.,3,Mid,"java,string_manipulation,thread_safety,mutability","String,StringBuilder,StringBuffer,thread-safe,immutable",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
44,Programming Languages,Java,What is the purpose of the volatile keyword in Java?,Makes variables thread-safe,Ensures visibility of changes across threads,Prevents object creation,Optimizes performance,B,The volatile keyword ensures that changes to a variable are visible to all threads immediately.,4,Senior,"java,volatile,concurrency,memory_model","volatile,thread visibility,memory model,concurrency",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
45,Programming Languages,Python,What is the Global Interpreter Lock (GIL) in Python?,A type of variable,A mechanism that allows only one thread to execute Python bytecode at once,A database lock,A file system lock,B,"The GIL is a mutex that protects access to Python objects, preventing multiple threads from executing Python code simultaneously.",4,Senior,"python,GIL,threading,concurrency","GIL,Global Interpreter Lock,Python threading,mutex",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
46,Programming Languages,Python,What is the difference between a list and a tuple in Python?,No difference,"Lists are mutable, tuples are immutable","Tuples are mutable, lists are immutable",Lists are faster,B,"Lists can be modified after creation (mutable), while tuples cannot be changed once created (immutable).",2,Entry,"python,data_types,mutability,list_tuple","list,tuple,mutable,immutable,Python",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
47,Programming Languages,JavaScript,What is a closure in JavaScript?,A way to close browser windows,A function that has access to variables in its outer scope,A type of loop,A database connection,B,A closure is a function that retains access to variables from its outer (enclosing) scope even after the outer function has finished executing.,4,Senior,"javascript,closures,scope,functions","closure,JavaScript,outer scope,function scope",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
48,Programming Languages,JavaScript,What is the difference between == and === in JavaScript?,No difference,"== checks type and value, === checks only value","== performs type coercion, === checks type and value",=== is faster,C,"The == operator performs type coercion and compares values, while === compares both type and value without coercion.",3,Mid,"javascript,equality_operators,type_coercion","equality,type coercion,strict equality,JavaScript",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
49,Web Development,Frontend,What is the purpose of the Virtual DOM in React?,To replace HTML,To optimize rendering by minimizing actual DOM manipulations,To store user data,To handle routing,B,The Virtual DOM is a programming concept where a virtual representation of UI is kept in memory and synced with the real DOM to optimize performance.,3,Mid,"react,virtual_dom,performance_optimization,frontend","Virtual DOM,React,performance,DOM manipulation",Mozilla Developer Network (developer.mozilla.org),6/14/2025
50,Web Development,Backend,What is the primary purpose of middleware in web frameworks?,To store data,To handle requests and responses between the client and server,To render HTML,To manage databases,B,"Middleware functions execute during the request-response cycle and can modify requests, responses, or perform operations like authentication.",3,Mid,"middleware,web_frameworks,request_response_cycle","middleware,request,response,web framework",Mozilla Developer Network (developer.mozilla.org),6/14/2025
51,Web Development,APIs,What does REST stand for in API design?,Really Easy Server Technology,Representational State Transfer,Remote Execution Service Technology,Relational Entity State Transfer,B,"REST is an architectural style for designing networked applications based on stateless, client-server communication.",2,Entry,"REST,API_design,web_services,architecture","REST,Representational State Transfer,API,architecture",Mozilla Developer Network (developer.mozilla.org),6/14/2025
52,Web Development,Security,What is Cross-Site Scripting (XSS)?,A way to share data between sites,A type of SQL injection,A vulnerability that allows injection of malicious scripts into web pages,A method for cross-site communication,C,"XSS allows attackers to inject malicious scripts into web pages viewed by other users, potentially stealing sensitive information.",4,Senior,"XSS,web_security,vulnerabilities,cross_site_scripting","XSS,Cross-Site Scripting,malicious scripts,vulnerability",Mozilla Developer Network (developer.mozilla.org),6/14/2025
53,Cloud Computing,AWS,Which AWS service is primarily used for object storage?,EC2,RDS,S3,Lambda,C,Amazon S3 (Simple Storage Service) is designed for object storage with high durability and availability.,2,Entry,"AWS,S3,object_storage,cloud_services","AWS,S3,object storage,Amazon",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
54,Cloud Computing,Distributed Systems,What is the CAP theorem in distributed systems?,"Capacity, Availability, Performance","Consistency, Availability, Partition tolerance","Concurrency, Atomicity, Persistence","Caching, Authentication, Partitioning",B,"CAP theorem states that a distributed system can guarantee at most two of: Consistency, Availability, and Partition tolerance.",4,Senior,"CAP_theorem,distributed_systems,consistency,availability","CAP theorem,Consistency,Availability,Partition tolerance",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
55,Cloud Computing,Containerization,What is the primary advantage of using Docker containers?,Faster execution than native code,Consistent environment across different platforms,Automatic scaling,Built-in security,B,"Docker containers package applications with their dependencies, ensuring consistent behavior across different environments.",3,Mid,"docker,containerization,consistency,deployment","Docker,containers,consistent environment,deployment",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
56,Data Structures & Algorithms,Sorting,Which sorting algorithm has the best worst-case time complexity?,Quicksort,Heapsort,Bubblesort,Insertion sort,B,"Heapsort has O(n log n) worst-case time complexity, while Quicksort has O(n^2) in the worst case.",3,Mid,"sorting_algorithms,time_complexity,heapsort,worst_case","Heapsort,worst-case,time complexity,sorting",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
57,Data Structures & Algorithms,Graph Algorithms,Which algorithm would you use to detect negative weight cycles in a graph?,Dijkstra's algorithm,Bellman-Ford algorithm,Floyd-Warshall algorithm,Kruskal's algorithm,B,Bellman-Ford algorithm can detect negative weight cycles and find shortest paths in graphs with negative edges.,4,Senior,"graph_algorithms,negative_cycles,bellman_ford,shortest_path","Bellman-Ford,negative weight cycles,shortest path,graph",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
58,Operating Systems,Synchronization,What is a deadlock in operating systems?,A slow-running process,A situation where processes wait indefinitely for resources held by each other,A corrupted file,A type of memory leak,B,"Deadlock occurs when two or more processes are blocked forever, waiting for each other to release resources.",3,Mid,"deadlock,synchronization,processes,resource_allocation","deadlock,processes,resources,wait indefinitely",Stanford CS140 Operating Systems Course (web.stanford.edu/class/cs140),6/14/2025
59,Operating Systems,File Systems,What is the purpose of an inode in Unix-like file systems?,To store file content,To store file metadata and pointers to data blocks,To store directory listings,To manage user permissions,B,"An inode stores metadata about a file (permissions, timestamps, size) and pointers to the data blocks containing the file content.",3,Mid,"inode,file_systems,metadata,unix","inode,file metadata,Unix,data blocks",Stanford CS140 Operating Systems Course (web.stanford.edu/class/cs140),6/14/2025
60,Software Engineering,Testing,What is the difference between unit testing and integration testing?,No difference,"Unit tests individual components, integration tests component interactions","Integration tests individual components, unit tests interactions","Unit testing is automated, integration testing is manual",B,"Unit testing focuses on testing individual components in isolation, while integration testing verifies that components work together correctly.",2,Entry,"unit_testing,integration_testing,testing_levels","unit testing,integration testing,components,interactions",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
61,Software Engineering,Testing,What is Test-Driven Development (TDD)?,Writing tests after coding,Writing tests before writing the actual code,Testing only edge cases,Automated testing only,B,"TDD follows a cycle: write a failing test, write minimal code to pass the test, then refactor.",3,Mid,"TDD,test_driven_development,development_methodology","TDD,Test-Driven Development,write tests first,red-green-refactor",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
62,Data Structures & Algorithms,Arrays,Which of the following algorithms is stable?,Quick sort,Heap sort,Merge sort,Selection sort,C,A stable sorting algorithm maintains the relative order of equal elements. Merge sort is stable.,3,Mid,"stable_sorting,sorting_algorithms,algorithm_properties","stable sorting,merge sort,relative order,equal elements",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
63,Data Structures & Algorithms,Arrays,Which algorithm would be most efficient for sorting an array of integers within a small range?,Merge sort,Quick sort,Counting sort,Heap sort,C,"Counting sort runs in O(n + k) time where k is the range, making it efficient for small ranges.",4,Senior,"counting_sort,non_comparison_sorting,linear_time_sorting","counting sort,small range,linear time,non-comparison",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
64,Data Structures & Algorithms,Linked Lists,How would you reverse a linked list iteratively?,Use recursion,Use two pointers (prev and next),Use a stack,Cannot be done iteratively,B,"Iterative reversal uses three pointers: current, previous, and next to reverse links one by one.",3,Mid,"linked_list_reversal,iterative_algorithms,pointers","reverse linked list,iterative,three pointers,prev next",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
65,Data Structures & Algorithms,Trees,What is the maximum number of nodes in a binary tree of height h?,2^h,2^(h+1),2^(h+1) - 1,2^h - 1,C,A complete binary tree of height h has 2^(h+1) - 1 nodes maximum.,3,Mid,"binary_tree,tree_properties,node_count","binary tree,maximum nodes,height,complete tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
66,Data Structures & Algorithms,Trees,Which traversal of a BST gives elements in sorted order?,Preorder,Inorder,Postorder,Level order,B,Inorder traversal of a Binary Search Tree visits nodes in ascending order.,2,Entry,"BST,inorder_traversal,sorted_order","BST,inorder traversal,sorted order,ascending",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
67,Programming Languages,Java,What is the difference between HashMap and ConcurrentHashMap?,No difference,"HashMap is thread-safe, ConcurrentHashMap is not","ConcurrentHashMap is thread-safe, HashMap is not",Both are equally thread-safe,C,"ConcurrentHashMap is designed for concurrent access, while HashMap is not thread-safe.",4,Senior,"java,concurrency,hash_map,thread_safety","HashMap,ConcurrentHashMap,thread-safe,concurrent access",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
68,Programming Languages,Java,What happens when you try to add a duplicate key to a HashMap?,Throws an exception,Ignores the new value,Updates the value for that key,Creates a separate entry,C,HashMap updates the value associated with an existing key when a duplicate key is added.,2,Entry,"java,hashmap,duplicate_keys","HashMap,duplicate key,update value,Java",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
69,Programming Languages,Python,What is a decorator in Python?,A design pattern,A function that modifies another function,A class inheritance method,A variable type,B,A decorator is a function that takes another function and extends its behavior without modifying it.,4,Senior,"python,decorators,function_modification","decorator,Python,function modifier,behavior extension",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
70,Programming Languages,JavaScript,What is event bubbling in JavaScript?,A memory leak,Events propagating from child to parent elements,A type of error,A performance optimization,B,Event bubbling is the process where events triggered on a child element propagate up to parent elements.,3,Mid,"javascript,event_bubbling,DOM_events","event bubbling,JavaScript,DOM events,propagation",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
